"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC024","Chức năng chưa xác định","Tên thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC025","Chức năng chưa xác định","Loại thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC026","Sửa thiết bị","Thiết bị cần sửa không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC027","Xóa thiết bị","Thiết bị cần xóa không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC028","Xóa thiết bị","Xác nhận xóa không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC029","Chức năng chưa xác định","Mã thiết bị bị trùng","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC030","Thêm thiết bị","Người dùng không có quyền thêm thiết bị.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC031","Chức năng chưa xác định","Mã thiết bị đã tồn tại.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC032","Chức năng chưa xác định","Trường bắt buộc bị bỏ trống.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC033","Chức năng chưa xác định","Loại thiết bị không hợp lệ.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC034","Chức năng chưa xác định","Dữ liệu vượt quá độ dài cho phép.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC035","Chức năng chưa xác định","Hệ thống xảy ra lỗi trong quá trình lưu.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC036","Sửa thiết bị","Người dùng không có quyền sửa thiết bị.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC037","Chức năng chưa xác định","Thiết bị không còn tồn tại.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC038","Chức năng chưa xác định","Thiết bị đã bị người dùng khác thay đổi.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC039","Sửa thiết bị","Dữ liệu cập nhật không hợp lệ.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC040","Xóa thiết bị","Người dùng không có quyền xóa thiết bị.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC041","Chức năng chưa xác định","Thiết bị không tồn tại.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC042","Xóa thiết bị","Thiết bị đã bị người dùng khác xóa.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC043","Chức năng chưa xác định","Thiết bị đang được sử dụng.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC044","Chức năng chưa xác định","Thiết bị có dữ liệu liên quan.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC045","Xóa thiết bị","Người dùng hủy xác nhận xóa.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC046","Xóa thiết bị","Hệ thống xảy ra lỗi trong quá trình xóa.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC047","Chức năng chưa xác định","Người dùng không có quyền xem thiết bị.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC048","Tìm kiếm thiết bị","Điều kiện tìm kiếm không hợp lệ.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC049","Tìm kiếm thiết bị","Không tìm thấy dữ liệu phù hợp.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC050","Chức năng chưa xác định","Ký tự đặc biệt gây lỗi xử lý.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC051","Chức năng chưa xác định","Hệ thống xảy ra lỗi trong quá trình truy vấn.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC052","Chức năng chưa xác định","Mã thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC053","Chức năng chưa xác định","Tên thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC054","Chức năng chưa xác định","Ghi chú cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC055","Thêm thiết bị","dữ liệu đầu vào trước khi tạo mới","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC056","Sửa thiết bị","quyền chỉnh sửa dữ liệu","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC057","Xóa thiết bị","quyền xóa dữ liệu","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC058","Chức năng chưa xác định","Người dùng đã đăng nhập vào hệ thống.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC059","Chức năng chưa xác định","Người dùng có quyền truy cập màn hình quản lý thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC060","Chức năng chưa xác định","Người dùng có quyền thực hiện chức năng tương ứng.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC061","Thêm thiết bị","Người dùng có quyền thêm thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC062","Sửa thiết bị","Người dùng có quyền sửa thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC063","Xóa thiết bị","Người dùng có quyền xóa thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC064","Chức năng chưa xác định","Người dùng có quyền xem danh sách thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC065","Chức năng chưa xác định","người dùng có quyền truy cập chức năng quản lý","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC066","Chức năng chưa xác định","Người dùng không có quyền không được thao tác chức năng quản lý","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC067","Thêm thiết bị","quyền thêm dữ liệu","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC068","Sửa thiết bị","quyền chỉnh sửa dữ liệu","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC069","Xóa thiết bị","quyền xóa dữ liệu","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC070","Chức năng chưa xác định","quyền xem dữ liệu","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC071","Chức năng chưa xác định","Mã thiết bị bị trùng","DATA_INTEGRITY","HIGH","HIGH","","Hệ thống bảo toàn tính toàn vẹn dữ liệu | Không tạo dữ liệu trùng hoặc dữ liệu không hợp lệ"
