"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"SC043","Tìm kiếm thiết bị","Hệ thống xảy ra lỗi trong quá trình truy vấn.","NEGATIVE","HIGH","HIGH","","Hệ thống xảy ra lỗi trong quá trình truy vấn. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC044","Thêm thiết bị","Mã thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Mã thiết bị cần kiểm tra dữ liệu nhập nguy hiểm | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC045","Thêm thiết bị","Tên thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Tên thiết bị cần kiểm tra dữ liệu nhập nguy hiểm | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC046","Thêm thiết bị","Ghi chú cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Ghi chú cần kiểm tra dữ liệu nhập nguy hiểm | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC047","Sửa thiết bị","Mã thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Mã thiết bị cần kiểm tra dữ liệu nhập nguy hiểm | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC048","Sửa thiết bị","Tên thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Tên thiết bị cần kiểm tra dữ liệu nhập nguy hiểm | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC049","Sửa thiết bị","Ghi chú cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Ghi chú cần kiểm tra dữ liệu nhập nguy hiểm | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC050","Tìm kiếm thiết bị","Mã thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Mã thiết bị cần kiểm tra dữ liệu nhập nguy hiểm | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC051","Tìm kiếm thiết bị","Tên thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Tên thiết bị cần kiểm tra dữ liệu nhập nguy hiểm | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC052","Thêm thiết bị","Kiểm tra dữ liệu đầu vào trước khi tạo mới","SECURITY","HIGH","HIGH","","Kiểm tra dữ liệu đầu vào trước khi tạo mới | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC053","Sửa thiết bị","Kiểm tra quyền chỉnh sửa dữ liệu","SECURITY","HIGH","HIGH","","Kiểm tra quyền chỉnh sửa dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC054","Xóa thiết bị","Kiểm tra quyền xóa dữ liệu","SECURITY","HIGH","HIGH","","Kiểm tra quyền xóa dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC055","Thiết bị","Kiểm tra Người dùng đã đăng nhập vào hệ thống.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng đã đăng nhập vào hệ thống. | Yêu cầu được gửi để hệ thống xử lý"
"SC056","Thiết bị","Kiểm tra Người dùng có quyền truy cập màn hình quản lý thiết bị.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng có quyền truy cập màn hình quản lý thiết bị. | Yêu cầu được gửi để hệ thống xử lý"
"SC057","Thiết bị","Kiểm tra Người dùng có quyền thực hiện chức năng tương ứng.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng có quyền thực hiện chức năng tương ứng. | Yêu cầu được gửi để hệ thống xử lý"
"SC058","Thêm thiết bị","Kiểm tra Người dùng có quyền thêm thiết bị.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng có quyền thêm thiết bị. | Yêu cầu được gửi để hệ thống xử lý"
"SC059","Thêm thiết bị","Kiểm tra Người dùng phải có quyền thêm thiết bị.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng phải có quyền thêm thiết bị. | Yêu cầu được gửi để hệ thống xử lý"
"SC060","Sửa thiết bị","Kiểm tra Người dùng có quyền sửa thiết bị.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng có quyền sửa thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC061","Sửa thiết bị","Kiểm tra Người dùng phải có quyền sửa thiết bị.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng phải có quyền sửa thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC062","Xóa thiết bị","Kiểm tra Người dùng có quyền xóa thiết bị.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng có quyền xóa thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC063","Xóa thiết bị","Kiểm tra Người dùng phải có quyền xóa thiết bị.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng phải có quyền xóa thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC064","Tìm kiếm thiết bị","Kiểm tra Người dùng có quyền xem danh sách thiết bị.","PERMISSION","HIGH","HIGH","","Kiểm tra Người dùng có quyền xem danh sách thiết bị. | Yêu cầu được gửi để hệ thống xử lý"
"SC065","Tìm kiếm thiết bị","Kiểm tra Kết quả phải tuân thủ quyền xem dữ liệu của người dùng.","PERMISSION","HIGH","HIGH","","Kiểm tra Kết quả phải tuân thủ quyền xem dữ liệu của người dùng. | Yêu cầu được gửi để hệ thống xử lý"
"SC066","Thiết bị","Kiểm tra người dùng có quyền truy cập chức năng quản lý","PERMISSION","HIGH","HIGH","","Kiểm tra người dùng có quyền truy cập chức năng quản lý | Yêu cầu được gửi để hệ thống xử lý"
"SC067","Thiết bị","Người dùng không có quyền không được thao tác chức năng quản lý","PERMISSION","HIGH","HIGH","","Người dùng không có quyền không được thao tác chức năng quản lý | Yêu cầu được gửi để hệ thống xử lý"
"SC068","Thêm thiết bị","Kiểm tra quyền thêm dữ liệu","PERMISSION","HIGH","HIGH","","Kiểm tra quyền thêm dữ liệu | Yêu cầu được gửi để hệ thống xử lý"
"SC069","Sửa thiết bị","Kiểm tra quyền chỉnh sửa dữ liệu","PERMISSION","HIGH","HIGH","","Kiểm tra quyền chỉnh sửa dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC070","Xóa thiết bị","Kiểm tra quyền xóa dữ liệu","PERMISSION","HIGH","HIGH","","Kiểm tra quyền xóa dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC071","Tìm kiếm thiết bị","Kiểm tra quyền xem dữ liệu","PERMISSION","HIGH","HIGH","","Kiểm tra quyền xem dữ liệu | Yêu cầu được gửi để hệ thống xử lý"
