"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC011","Sinh mã đơn vị tính","Kiểm tra quyền thực hiện Sinh mã đơn vị tính","PERMISSION","HIGH","HIGH","true","Kiểm tra Người dùng có quyền thêm mới đơn vị tính. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC012","Sinh mã đơn vị tính","Kiểm tra ngoại lệ của Sinh mã đơn vị tính","EXCEPTION","HIGH","HIGH","true","Hệ thống không thể sinh mã. | Mã được sinh bị trùng. | Mã được sinh không đúng định dạng. | Hệ thống mất kết nối trong quá trình sinh mã. | Người dùng thực hiện sinh mã nhiều lần liên tiếp. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC013","Sinh mã đơn vị tính","Kiểm tra rủi ro của Sinh mã đơn vị tính","RISK","HIGH","HIGH","true","Việc sinh mã không được làm mất dữ liệu tại các trường khác. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC014","Tìm kiếm đơn vị tính","Tìm kiếm đơn vị tính","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng tìm kiếm đơn vị tính theo mã hoặc tên đơn vị tính. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC015","Tìm kiếm đơn vị tính","Kiểm tra quy tắc nghiệp vụ của Tìm kiếm đơn vị tính","DATA_INTEGRITY","HIGH","HIGH","true","Cho phép tìm kiếm theo mã đơn vị tính. | Cho phép tìm kiếm theo tên đơn vị tính. | Từ khóa có thể được tìm theo giá trị chính xác hoặc gần đúng tùy thiết kế hệ thống. | Khi không nhập từ khóa, hệ thống có thể hiển thị toàn bộ danh sách. | Kết quả tìm kiếm phải tuân thủ quyền xem dữ liệu của người dùng. | Kết quả có thể được phân trang khi số lượng dữ liệu lớn. | Tìm kiếm theo mã đơn vị tính | Tìm kiếm theo tên đơn vị tính | Hỗ trợ tìm kiếm gần đúng (chứa từ khóa) | Hiển thị toàn bộ danh sách khi không nhập từ khóa | Kết quả tìm kiếm phải tuân thủ quyền xem dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC016","Tìm kiếm đơn vị tính","Kiểm tra dữ liệu không hợp lệ của Tìm kiếm đơn vị tính","NEGATIVE","HIGH","HIGH","true","Cho phép tìm kiếm theo mã đơn vị tính. | Cho phép tìm kiếm theo tên đơn vị tính. | Từ khóa có thể được tìm theo giá trị chính xác hoặc gần đúng tùy thiết kế hệ thống. | Khi không nhập từ khóa, hệ thống có thể hiển thị toàn bộ danh sách. | Kết quả tìm kiếm phải tuân thủ quyền xem dữ liệu của người dùng. | Kết quả có thể được phân trang khi số lượng dữ liệu lớn. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC017","Tìm kiếm đơn vị tính","Kiểm tra quyền thực hiện Tìm kiếm đơn vị tính","PERMISSION","HIGH","HIGH","true","Kiểm tra Người dùng có quyền xem danh mục đơn vị tính. | Kiểm tra Kết quả tìm kiếm phải tuân thủ quyền xem dữ liệu của người dùng. | Kiểm tra quyền xem dữ liệu | Người dùng có quyền xem danh mục đơn vị tính | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC018","Tìm kiếm đơn vị tính","Kiểm tra ngoại lệ của Tìm kiếm đơn vị tính","EXCEPTION","HIGH","HIGH","true","Người dùng không có quyền xem danh mục đơn vị tính. | Không tìm thấy dữ liệu phù hợp. | Từ khóa vượt quá độ dài cho phép. | Từ khóa chứa ký tự đặc biệt. | Từ khóa chỉ chứa khoảng trắng. | Hệ thống xảy ra lỗi trong quá trình truy vấn. | Hệ thống mất kết nối khi đang tìm kiếm. | Người dùng không có quyền xem danh mục | Không tìm thấy dữ liệu phù hợp | Từ khóa vượt quá độ dài cho phép | Từ khóa chứa ký tự đặc biệt | Từ khóa chỉ chứa khoảng trắng | Lỗi hệ thống khi truy vấn | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC019","Tìm kiếm đơn vị tính","Kiểm tra rủi ro của Tìm kiếm đơn vị tính","RISK","HIGH","HIGH","true","Kết quả tìm kiếm phải tuân thủ quyền xem dữ liệu của người dùng. | Lỗi hiển thị khi từ khóa tìm kiếm chứa ký tự đặc biệt | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC020","","Thêm mới đơn vị tính thành công","POSITIVE","MEDIUM","MEDIUM","true",""
"TC021","","Kiểm tra quy tắc bắt buộc của trường Tên đơn vị tính","DATA_INTEGRITY","HIGH","HIGH","true",""
"TC022","","Kiểm tra chức năng sinh mã đơn vị tính","POSITIVE","MEDIUM","MEDIUM","true",""
"TC023","","Tìm kiếm đơn vị tính bằng tên","POSITIVE","MEDIUM","MEDIUM","true",""
