"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC026","Ngừng sử dụng thiết bị","Không được xóa thiết bị đang được sử dụng.","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Ngừng sử dụng thiết bị khi bản ghi ở trạng thái bị chặn theo rule; dữ liệu không thay đổi."
"TC027","Ngừng sử dụng thiết bị","Không được xóa thiết bị có dữ liệu liên quan nếu hệ thống không cho phép.","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Ngừng sử dụng thiết bị và không làm mất dữ liệu liên quan."
"TC029","Ngừng sử dụng thiết bị","Việc xóa có thể là xóa mềm hoặc xóa vật lý tùy thiết kế hệ thống.","NEGATIVE","HIGH","HIGH","true","Chưa có đủ dữ liệu để tạo trạng thái kiểm thử cụ thể cho rule: Việc xóa có thể là xóa mềm hoặc xóa vật lý tùy thiết kế hệ thống."
"TC033","Ngừng sử dụng thiết bị","Người dùng không có quyền xóa thiết bị.","EXCEPTION","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Ngừng sử dụng thiết bị; dữ liệu không thay đổi."
"TC034","Ngừng sử dụng thiết bị","Thiết bị không tồn tại.","EXCEPTION","HIGH","HIGH","true","Hệ thống không thực hiện Ngừng sử dụng thiết bị với bản ghi không tồn tại; dữ liệu không thay đổi."
"TC035","Ngừng sử dụng thiết bị","Thiết bị đã bị người dùng khác xóa.","EXCEPTION","HIGH","HIGH","true","Hệ thống không ghi đè dữ liệu không còn hợp lệ và yêu cầu tải lại trạng thái mới nhất."
"TC038","Ngừng sử dụng thiết bị","Người dùng hủy xác nhận xóa.","EXCEPTION","HIGH","HIGH","true","Hệ thống không thực hiện Ngừng sử dụng thiết bị khi người dùng không xác nhận; dữ liệu không thay đổi."
"TC039","Ngừng sử dụng thiết bị","Hệ thống xảy ra lỗi trong quá trình xóa.","EXCEPTION","HIGH","HIGH","true","Hệ thống không tạo dữ liệu không hoàn chỉnh và thể hiện thao tác không thành công."
"TC041","Tìm kiếm thiết bị","Tìm kiếm thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Hệ thống hiển thị đúng các thiết bị phù hợp. | Không hiển thị thiết bị không thỏa mãn điều kiện. | Hiển thị thông báo phù hợp khi không có kết quả. | Kết quả tìm kiếm được phân trang đúng nếu có. | Dữ liệu hiển thị đúng và đầy đủ. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC042","Tìm kiếm thiết bị","Cho phép tìm kiếm bằng một hoặc nhiều điều kiện.","DATA_INTEGRITY","HIGH","HIGH","true","Cần clarification về cách kết hợp điều kiện trước khi xác định kết quả."
"TC043","Tìm kiếm thiết bị","Các điều kiện tìm kiếm được kết hợp theo quy tắc của hệ thống.","DATA_INTEGRITY","HIGH","HIGH","true","Cần clarification về cách kết hợp điều kiện trước khi xác định kết quả."
"TC044","Tìm kiếm thiết bị","Khi không nhập điều kiện, hệ thống có thể hiển thị toàn bộ dữ liệu hoặc yêu cầu nhập điều kiện.","DATA_INTEGRITY","HIGH","HIGH","true","Chưa thể xác định một kết quả duy nhất khi không nhập điều kiện; cần clarification được phê duyệt."
"TC045","Tìm kiếm thiết bị","Kết quả có thể được phân trang khi số lượng dữ liệu lớn.","DATA_INTEGRITY","HIGH","HIGH","true","Chưa có đủ dữ liệu để tạo trạng thái kiểm thử cụ thể cho rule: Kết quả có thể được phân trang khi số lượng dữ liệu lớn."
"TC049","Tìm kiếm thiết bị","Kết quả phải tuân thủ quyền xem dữ liệu của người dùng.","NEGATIVE","HIGH","HIGH","true","Chưa có đủ dữ liệu để tạo trạng thái kiểm thử cụ thể cho rule: Kết quả phải tuân thủ quyền xem dữ liệu của người dùng."
"TC052","Tìm kiếm thiết bị","Kiểm tra Kết quả phải tuân thủ quyền xem dữ liệu của người dùng.","PERMISSION","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Tìm kiếm thiết bị; dữ liệu không thay đổi."
"TC055","Tìm kiếm thiết bị","Người dùng không có quyền xem thiết bị.","EXCEPTION","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Tìm kiếm thiết bị; dữ liệu không thay đổi."
"TC056","Tìm kiếm thiết bị","Điều kiện tìm kiếm không hợp lệ.","EXCEPTION","HIGH","HIGH","true","Chưa có đủ dữ liệu để tạo trạng thái kiểm thử cụ thể cho rule: Điều kiện tìm kiếm không hợp lệ."
"TC057","Tìm kiếm thiết bị","Không tìm thấy dữ liệu phù hợp.","EXCEPTION","HIGH","HIGH","true","Hệ thống hiển thị trạng thái không có dữ liệu phù hợp và không hiển thị bản ghi sai điều kiện."
"TC058","Tìm kiếm thiết bị","Ký tự đặc biệt gây lỗi xử lý.","EXCEPTION","HIGH","HIGH","true","Chưa có đủ dữ liệu để tạo trạng thái kiểm thử cụ thể cho rule: Ký tự đặc biệt gây lỗi xử lý."
"TC059","Tìm kiếm thiết bị","Hệ thống xảy ra lỗi trong quá trình truy vấn.","EXCEPTION","HIGH","HIGH","true","Hệ thống không tạo dữ liệu không hoàn chỉnh và thể hiện thao tác không thành công."
"TC061","Khôi phục thiết bị","Khôi phục thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Khôi phục trạng thái sử dụng | Yêu cầu được gửi để hệ thống xử lý"
"TC062","Khôi phục thiết bị","Chỉ khôi phục thiết bị đã ngừng sử dụng","DATA_INTEGRITY","HIGH","HIGH","true","Hệ thống không thực hiện Khôi phục thiết bị khi bản ghi ở trạng thái bị chặn theo rule; dữ liệu không thay đổi."
"TC063","Thêm thiết bị","Scenario người dùng thêm","POSITIVE","MEDIUM","MEDIUM","true","Kết quả người dùng thêm"
